JIVDATE,INCIDENTSITE,IMAGES1,CLEANUPCOMPLETED,TERRAIN,COMMENTS,month,DATEREPORTED,SPILLVOLUME,JIVREPORT,year,CAUSE
JIVDATE,INCIDENTSITE,IMAGES1,CLEANUPCOMPLETED,TERRAIN,COMMENTS,month,DATEREPORTED,SPILLVOLUME,JIVREPORT,year,CAUSE
3-Nov-11,24'' Trans Ramos Pipeline Right of Way at Aghoro,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/735234_24in_Trans_Ramos_Pipeline_at_Aghoro2_Photos.pdf,No recoverable oil was found on site. Initial Cleanup of residual impacted area was completed on 1st May 2012.,Swamp,Mystery spill (Joint investigation team could not establish the source of spill). Post Cleanup inspection completed on 18th May 2012.,november,1-Nov-11,1.3,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/735234_24in_Trans_Ramos_Pipeline_at_Aghoro2_JIV.pdf,2011,Others
3-Nov-11,"24"" Nkpoku - Bomu Pipeline at Biara",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/734895_24in_Npoku-Bomu_pipeline_at_Biara_Photos.pdf,No recoverable oil was found on site.,Land,JIV recommends no cleanup action required. Closed.,november,1-Nov-11,0.23,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/734895_24in_Npoku-Bomu_pipeline_at_Biara_JIV.pdf,2011,Sabotage/Theft
9-Nov-11,Olomoro compressor station saver pit 2,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/737431_Olomoro_Compressor_Station2_Photos.pdf,No recoverable oil found on site. Initial cleanup of residual impacted area commenced on 25th February 2012 and was completed on 1st March 2012 .,Land,"This is a recurrence of the incident of 14th June 2011, which has now been closed. Recovery of spilled volume was stalled by lingering intra-community conflicts. Community issues resolved on 20th February 2012. Post Cleanup inspection completed on 16th March 2012.",november,7-Nov-11,3.9,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/737431_Olomoro_Compressor_Station2_JIV.pdf,2011,Operational
13-Nov-11,"16"" Egbema-Assa Pipeline at Assa",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/737787_16in_Egbema-Assa_pipeline_at_Assa_Photos.pdf,No recoverable oil was found on site.,Land,JIV recommends no cleanup action required. Closed.,november,8-Nov-11,0.8,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/737787_16in_Egbema-Assa_pipeline_at_Assa_JIV.pdf,2011,Sabotage/Theft
11-Nov-11,"14"" Okordia - Rumuekpe Pipeline at Ikarama",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/737791_14in_Okordia-Rumuekpe_pipeline_at_Ikarama_Photos.pdf,Recovery of spilled volume commenced on 11th November 2011. Cleanup of residual impacted area completed on 24th January 2012.,Land,This is the 13th sabotage incident at Ikarama since the beginning of August 2011. Overall schedule was impacted by difficulty of terrain. Post Cleanup inspection completed on 7th February 2012.,november,8-Nov-11,83.3,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/737791_14in_Okordia-Rumuekpe_pipeline_at_Ikarama_JIV.pdf,2011,Sabotage/Theft
12-Nov-11,"6"" Obigbo North - Ogale Pipeline at Ogale",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/738282_6in_ObigboNorth_pipeline_at_Ogale_Photos.pdf,Recovery of spilled volume commenced on 12th November 2011 and was completed on 17th November 2011.  Cleanup of residual impacted area completed on 8th December 2011.,Land,Post Cleanup inspection completed on 25th January 2012.,november,9-Nov-11,24.88,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/738282_6in_ObigboNorth_pipeline_at_Ogale_JIV.pdf,2011,Sabotage/Theft
16-Nov-11,"12"" Adibawa - Okordia Pipeline at Ikarama",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/739689_12in_Adibawa-Okordia_pipeline_at_Ikarama_Photos.pdf,Recovery of spilled volume commenced on 16th November 2011 and was completed on 28th November 2011. Initial cleanup of residual impacted area completed on 24th February 2012,Land,Post Cleanup Inspection completed  on 24th April 2012,november,12-Nov-11,62.2,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/739689_12in_Adibawa-Okordia_pipeline_at_Ikarama_JIV.pdf,2011,Operational
&nbsp;,Uzere Well 9S,&nbsp;,&nbsp;,Land,Efforts to conduct a JIV stalled by ongoing intercommunal war in Uzere. The State Government is leading efforts to restore peace in the community and enable resumption of normal activities.,november,12-Nov-11,Yet to be determined,&nbsp;,2011,Yet to be determined
17-Nov-11,10'' Ogini-Eriemu delivery line  at Ovrode,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/739846_ 10in_Ogini-Eriemu_Deliveryline_at_Ovrode_Photos.pdf,Recovery of spilled volume completed on 19th November 2011. Cleanup of residual impacted area completed on 20th November 2011.,Land,Post Cleanup inspection completed on 25th November 2011.,november,14-Nov-11,1,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/739846_ 10in_Ogini-Eriemu_Deliveryline_at_Ovrode_ JIV.pdf,2011,Sabotage/Theft
28-Nov-11,Krakama Well 13 at Bille,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/741104_Krakama_Well13_at_Bille_Photos.pdf,Recovery of spilled volume completed on 27th November 2011. Cleanup of residual impacted area completed on 31st January 2012.,Swamp,Delay due to community contracting and difficulty of the work terrain. Post Cleanup Inspection completed on 23rd May 2012.,november,14-Nov-11,22.7,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/741104_Krakama_Well13_at_Bille_JIV.pdf,2011,Operational
&nbsp;,Uzere Well 20S,&nbsp;,&nbsp;,Land,Efforts to conduct a JIV stalled by ongoing intercommunal war in Uzere. The State Government is leading efforts to restore peace in the community and enable resumption of normal activities.,november,14-Nov-11,Yet to be determined,&nbsp;,2011,Yet to be determined
16-Nov-11,16'' Uzere-Eriemu Pipeline at Iyede,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/740641_16in_Uzere-Eriemu_Pipeline_at_Iyede_Photos.pdf,Recovery of spilled volume commenced on 17th November 2011. Cleanup of residual impacted area commenced on 9th December 2011 but was suspended on 12th December 2011 due to Community issues. Cleanup  restarted on 18th January 2012 and was completed on 24th January 2012.,Land,Community issues resolved. Post Cleanup inspection completed on 26th January 2012.,november,15-Nov-11,36.5,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/740641_16in_Uzere-Eriemu_Pipeline_at_Iyede_ JIV.pdf,2011,Sabotage/Theft
23-Nov-11,"12"" Imo River 2 - Ebubu Pipeline at Odagwa",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/743458_12in_ImoRiver-Ebubu_pipeline_at_Odagwa_Photos.pdf,No recoverable oil was found on site.,Land,JIV recommends no cleanup action required.  Closed.,november,21-Nov-11,0.26,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/743458_12in_ImoRiver-Ebubu_pipeline_at_Odagwa_JIV.pdf,2011,Sabotage/Theft
23-Nov-11,"6"" Obigbo North - OgalePipeline at  Ogale",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/743475_6in_ObigboNorth-Ogale_pipeline_at_Ogale_Photos.pdf,Recovery of spilled volume completed on 23rd November 2011.  Cleanup of residual impacted area was completed on 8th December 2011.,Land,Post Cleanup inspection completed on 25th January 2012.,november,21-Nov-11,6.8,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/743475_6in_ObigboNorth-Ogale_pipeline_at_Ogale_JIV.pdf,2011,Sabotage/Theft
29-Nov-11,Batan Flowstation,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/743699 _Batan_FlowStation_SaverPit_Photos.pdf,No recoverable oil was found on site.,Swamp,JIV recommends no cleanup action required. Closed.,november,21-Nov-11,0,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/743699 _Batan_FlowStation_SaverPit_JIV.pdf,2011,Operational
23-Nov-11,12” Cawthorne channel I Pipeline at Cawthorne Channel,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/744183_12in_CawthorneChannel1_riser_pipeline_at_Ilomaturu_Photos.pdf,No recoverable oil was found on site.,Swamp,Initial cleanup of residual impacted area completed on 21st April 2012. Post Cleanup Inspection completed on 15th June 2012. Overall schedule was impacted by protracted community contracting and difficult swamp logistics.,november,23-Nov-11,3.1,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/744183_12in_CawthorneChannel1_riser_pipeline_at_Ilomaturu_JIV.pdf,2011,Operational
2-Dec-11,8'' Northbank - Northbank tie-in Manifold,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/744907_8in_NorthBank_Tie-in_Manifold_Photos.pdf, No recoverable oil was found on site. Initial Cleanup of residual impacted area was completed on 23rd April 2012.,Swamp,Post Cleanup Inspection completed on 27th April 2012,november,24-Nov-11,77.1,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/744907_8in_NorthBank_Tie-in_Manifold_JIV.pdf,2011,Operational
27-Nov-11,"12"" Imo River 1 - Ogale Pipeline at Owaza",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/746463_12in_ImoRiver-Ogale_pipeline_at_Owaza_Photos.pdf,No recoverable oil was found on site at the time of the JIV.,Land,JIV took place as part of Imo River axis re-entry effort. JIV recommends no cleanup action required.  Closed.,november,28-Nov-11,1.94,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/746463_12in_ImoRiver-Ogale_pipeline_at_Owaza_JIV.pdf,2011,Sabotage/Theft
6-Dec-11,Awoba Well 8 T Flowline at Bille,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/746242_AwobaWell8T_flowline_at_Bille_Photos.pdf,No recoverable oil was found on site.,Swamp,JIV recommends no cleanup action required. Closed.,november,28-Nov-11,0.5,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/746242_AwobaWell8T_flowline_at_Bille_JIV.pdf,2011,Operational
13-Dec-11,Ubefan Well 2,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/746966_Ubefan_Well2_Photos.pdf,No recoverable oil was found on site.,Swamp,Divested Asset. Responsibility for further action (if any) and progress reporting lies with the new operator.,november,29-Nov-11,85,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/746966_Ubefan_Well2_JIV.pdf,2011,Sabotage/Theft
JIVDATE,INCIDENTSITE,IMAGES1,CLEANUPCOMPLETED,TERRAIN,COMMENTS,month,DATEREPORTED,SPILLVOLUME,JIVREPORT,year,CAUSE
7-Dec-11,"12"" Imo River1 - Ogale Pipeline @ Komkom",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/750226_12in_ImoRiver1-Ogale_pipeline_at_KomKom_Photos.pdf,No recoverable oil was found on site. Cleanup of residual impacted area was completed on 6th January 2012.,Swamp,Post Cleanup Inspection completed on 3rd February 2012.,december,5-Dec-11,2.2,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/750226_12in_ImoRiver1-Ogale_pipeline_at_KomKom_JIV.pdf,2011,Sabotage/Theft
9-Dec-11,Bonny - Oloma Well 2L Flowline at Oloma,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/751339_Bonny-Oloma_Well2L_flowline_at_Oloma_Photos.pdf, No recoverable oil was found on site.  Initial cleanup of residual impacted area was completed on 30th April 2012.,Swamp,Overall schedule considers community contracting and difficulty of the work terrain. Post Cleanup Inspection completed on 29th June 2012.,december,8-Dec-11,16,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/751339_Bonny-Oloma_Well2L_flowline_at_Oloma_JIV.pdf,2011,Operational
17-Dec-11,"10"" Diebu creek Pipeline at Oporoma",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/751218_10in_DiebuCreek_pipeline_at_Oporoma_Photos.pdf,Containment in place. Recovery of spilled volume commenced on 31st December 2011 and was completed on 26th February 2012.  Initial Cleanup of residual impacted area was completed on 7th March 2012.  ,Swamp, Post Cleanup Inspection completed on 27th March 2012.,december,8-Dec-11,3.2,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/751218_10in_DiebuCreek_pipeline_at_Oporoma_JIV.pdf,2011,Sabotage/Theft
15-Dec-11,Akaso Well 3S FL at Cawthorne Channel,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/752366_Akaso_Well3S_flowline_at_Ilomatoru_Photos.pdf, No recoverable oil was found on site. Initial cleanup of residual impacted area was completed on 24th February 2012.,Swamp,"Post Cleanup Inspection delayed due to security issues. Site reportedly reimpacted by a spill incident on 23rd January 2012. However, subsequent JIV found no recoverable oil on site and recommended no further cleanup action required. Closed. ",december,12-Dec-11,1.5,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/752366_Akaso_Well3S_flowline_at_Ilomatoru_JIV.pdf,2011,Sabotage/Theft
15-Dec-11,Oroni Well 7S Flowline,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/752974_Oroni_Well7_Flowline_at_Igbide_Photos.pdf,Recovery of spilled volume commenced on 16th December 2011 and was completed on 19th December 2011. Cleanup of residual impacted area commenced on 19th December 2011 and was completed 24th January 2012.,Land,Post Cleanup Inspection completed on 26th January 2012.,december,13-Dec-11,9,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/752974_Oroni_Well7_Flowline_at_Igbide_JIV.pdf,2011,Sabotage/Theft
19-Dec-11,Ekulama 1 Well 35 ROW at Ekulama,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/753067_Ekulama1_Well35S_flowline_at_SandSand_Photos.pdf, No recoverable oil was found on site. Initial Cleanup of residual impacted area was completed on 11th April 2012,Swamp,"Overall schedule impacted by community contracting, the difficult work terrain and fuel subsidy strike in January 2012. Post Cleanup Inspection completed on 26th May 2012.",december,13-Dec-11,5.9,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/753067_Ekulama1_Well35S_flowline_at_SandSand_JIV.pdf,2011,Operational
19-Dec-11,"16"" Nun-River - Kolo Creek Pipeline at Aguobiri",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/753615_16in_NunRiver-Kolocreek_pipeline_at_Aguobiri_Photos.pdf,Containment in place. Recovery of spilled volume commenced on 31st December 2011 and was completed on 26th February 2012.  Initial Cleanup of residual impacted area was completed on 27th April 2012.,Swamp,Post Cleanup Inspection completed on 26th May 2012.,december,14-Dec-11,41.2,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/753615_16in_NunRiver-Kolocreek_pipeline_at_Aguobia_JIV.pdf,2011,Sabotage/Theft
19-Dec-11,Nun River Well 15S Flowline ROW at Onyoma,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/756863_NunRiver_Well15S_flowline_at_Onyoma_Photos.pdf,Containment in place. Recovery of spilled volume was completed on  7th February 2012.  Initial Cleanup of residual impacted area was completed on 24th February 2012.,Swamp,The initial JIV on 23rd December 2011 could not establish the cause of spill. A repeat JIV held on 19th January 2012 following the seasonal holidays and general strike to protest the hike in fuel prices. Post Cleanup Inspection completed on 26th March 2012.,december,21-Dec-11,2.50,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/756863_NunRiver_Well15S_flowline_at_Onyoma_JIV.pdf,2011,Operational
24-Dec-11,"18"" Assa-Rumuekpe Pipeline at Awara",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/756354_18in_Assa-Rumuekpe_pipeline_at_Awara_Photos.pdf, No recoverable oil was found on site. Cleanup of residual impacted area completed on 16th February 2012.,Land,Post Cleanup Inspection completed on 26th March 2012.,december,21-Dec-11,1.4,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/756354_18in_Assa-Rumuekpe_pipeline_at_Awara_JIV.pdf,2011,Sabotage/Theft
23-Dec-11,"10"" Ogini-Eriemu Delivery line at Otie-Oweh",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/757011_10in_Ogini-Eriemu_deliveryline_at_Otie-Oweh_Photos.pdf,No recoverable oil was found on site. Cleanup of residual impacted area completed on 26th December 2011.,Land,Post Cleanup inspection completed on 30th December 2011.,december,22-Dec-11,0.83,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/757011_10in_Ogini-Eriemu_deliveryline_at_Otie-Oweh_JIV.pdf,2011,Sabotage/Theft
30-Dec-11,"24"" Nembe Creek Pipeline at Tora ",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/757658_24in_NembeCreek_pipeline_at_NembeBassambiri_Photos.pdf,Recovery of spilled volume completed on 4th January 2012. Initial Cleanup of residual impacted area was completed on 30th April 2012.,Swamp,"JIV held from 30th - 31st December, 2011. Post Cleanup Inspection completed on 24th May 2012.",december,24-Dec-11,245.2,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/757658_24in_NembeCreek_pipeline_at_NembeBassambiri_JIV.pdf,2011, Sabotage/Theft
JIVDATE,INCIDENTSITE,IMAGES1,CLEANUPCOMPLETED,TERRAIN,COMMENTS,month,DATEREPORTED,SPILLVOLUME,JIVREPORT,year,CAUSE
19-Jan-12,Well 33L ROW at Opukushi,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/765883_Opukushi_Well33L_flowline_at_Egbema-Angalabiri_Photos.pdf,No recoverable oil was found on site. Initial Cleanup of residual impacted area was completed on 30th April 2012.,Swamp,"The JIV was conducted in two phases, first to estimate the spill volume on 19th January 2012, and on 27th January 2012, to determine the cause of spill after the spill point was made accessible. Site Certification was completed on 4th May 2012.",january,16-Jan-12,2,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/765883_Opukushi_Well33L_flowline_at_Egbema-Angalabiri_JIV.pdf,2012,Operational
21-Jan-12,"8"" Cawthorne Channel II Pipeline at Tigerkiri",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/765510_8in_CawthorneChannel2_pipeline_at_Tigerkiri_Photos.pdf,Recovery of spilled volume was completed on 17th Jan 2012. Initial cleanup of residual impacted area was completed on 17th February 2012.,Swamp,Site re-impacted following a new spill incident at the same location on 22nd May 2012. Further work to be reported under the new incident. This incident is now considered closed.,january,16-Jan-12,3.6,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/765510_8in_CawthorneChannel2_pipeline_at_Tigerkiri_JIV.pdf,2012,Sabotage/Theft
20-Jan-12,"36"" Nkpoku - Bomu Pipeline at Eneka",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/766391_36in_Npoku-Bomu_pipeline_at_Eneka_Photos.pdf,Recovery of spilled volume was completed on 23rd Jan 2012. Initial cleanup of residual impacted area was completed on 10th February 2012. Site remediation was completed on 9th April 2012.,Land,Site Certification was completed on 29th June 2012.,january,18-Jan-12,13,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/766391_36in_Npoku-Bomu_pipeline_at_Eneka_JIV.pdf,2012,Sabotage/Theft
25-Jan-12,"16"" Egbema - Assa Trunk line at Obille",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/766965_16in_Egbema-Assa_pipeline_at_Obille_Photos.pdf,No recoverable oil was found on site,Land,JIV recommends no further action required. Closed. Site Certification completed on 3rd May 2012.,january,20-Jan-12,1.3,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/766965_16in_Egbema-Assa_pipeline_at_Obille_JIV.pdf,2012,Sabotage/Theft
24-Jan-12,10'' Kokori-Eriemu Pipeline at Kokori,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/767552_12in_Kokori-Eriemu_deliveryline_at_Awirhe_Photos.pdf,Containment in place. Recovery of spilled volume commenced on 25th January 2012 and was completed on 10th February 2012. Initial cleanup of residual impacted area commenced on 30th April  2012 and was completed on 5th May 2012.,Land,"Remediation is ongoing, Site certification planned for October 2012.",january,23-Jan-12,529.5,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/767552_12in_Kokori-Eriemu_deliveryline_at_Awirhe_JIV.pdf,2012,Sabotage/Theft
24-Jan-12,Etelebou Well 11T at Etelebou,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/768008_Etelebou_Well11_at_Akenfa-Epie_Photos.pdf,Containment in place. Recovery of spilled volume commenced on 31st January 2012 and was completed on 6th February 2012. Initial cleanup of residual impacted area was completed on 26th February 2012. Remediation completed on 15th September 2012.,Land,Incident was followed by fire which consumed most of the spilled oil. Site Certification now planned for November 2012 due to flooding.,january,23-Jan-12,98.5,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/768008_Etelebou_Well11_at_Akenfa-Epie_JIV.pdf,2012,Sabotage/Theft
26-Jan-12,"8"" Umuechem - Nkpoku  Pipeline at Omunwei, Igwuruta",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/768354_8in_Umuechem-Nkpoku_pipeline_at_Omunwei_Photos.pdf,Recovery of spilled volume was completed on 26th Jan 2012. Initial cleanup of residual impacted area was completed on 8th February 2012.,Land,Incident was followed by fire which consumed most of the spilled oil. Remediation is ongoing. Site certification planned for October 2012.,january,25-Jan-12,2.4,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/768354_8in_Umuechem-Nkpoku_pipeline_at_Omunwei_JIV.pdf,2012,Sabotage/Theft
27-Jan-12,Ubie Well 9S flowline at Idu/Edrass,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/769360_Ubie_Well9S_flowline_at_IduEdrass_Photos.pdf,Recovery of spilled volume commenced on 8th February 2012 and was completed on 24th February 2012. Initial Cleanup of residual impacted area was completed on 14th March 2012. Site Remediation was completed on 14th June 2012.,Land,Site certification was completed on 13th August 2012.,january,27-Jan-12,7.3,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/769360_Ubie_Well9S_flowline_at_IduEdrass_JIV.pdf,2012,Sabotage/Theft
2-Feb-12,"16"" Egbema-Assa Trunk line at Assa ",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/769803_16in_Egbema-Assa_pipeline_at_Assa_Photos.pdf,Recovery of spilled volume was completed on 4th February 2012.  Initial Cleanup of residual impacted area was completed on 9th March 2012. Site Remediation was completed on 12th March 2012.,Land,Site certification was completed on 13th August 2012.,january,28-Jan-12,4.7,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/769803_16in_Egbema-Assa_pipeline_at_Assa_JIV.pdf,2012, Sabotage/Theft
JIVDATE,INCIDENTSITE,IMAGES1,CLEANUPCOMPLETED,TERRAIN,COMMENTS,month,DATEREPORTED,SPILLVOLUME,JIVREPORT,year,CAUSE
3-Feb-12,"6""Obigbo North Pipeline at Ogale",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/771945_6in_ObigboNorth_pipeline_at_Ogale_Photos.pdf,Recovery of spilled volume was completed on 6th February 2012. Initial Cleanup of residual impacted area was completed on 14th March 2012.,Land,"Remediation is ongoing, Site certification planned for October 2012.",february,1-Feb-12,120,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/771945_6in_ObigboNorth_pipeline_at_Ogale_JIV.pdf,2012,Sabotage/Theft
11-Feb-12,"28"" Nkpoku - Bomu Pipeline at B-Dere",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/774177_28in_Npoku-Bomu_pipeline_at_B-Dere_Photos.pdf,Recovery of spilled volume commenced on 15th February 2012 and was completed on 11th April 2012. Initial Cleanup of residual impacted area was completed on 31st  May 2012.,Land,"JIV took place from 11th to 14th February 2012. The site was re-impacted by third party oil spills / illegal refining and SPDC has informed the relevant authorities. This site is being remediated as part of the Greater Bodo Area Clean-up, as it is linked to the creek system in which extensive oil theft and illegal refining activities take place.  Site certification now planned for December 2012.",february,7-Feb-12,112.2,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/774177_28in_Npoku-Bomu_pipeline_at_B-Dere_JIV.pdf,2012, Sabotage/Theft
14-Feb-12,"28"" Nkpoku - Bomu Pipelline at B-Dere",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/777315_28in_Npoku-Bomu_pipeline_at_B-Dere_Photos.pdf,No recoverable oil was found on site.,Land,JIV recommended that no cleanup action is required. Closed. Site Certification completed on 3rd May 2012.,february,7-Feb-12,0.22,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/777315_28in_Npoku-Bomu_pipeline_at_B-Dere_JIV.pdf,2012, Sabotage/Theft
15-Feb-12,"6"" Obigbo North - Ogale delivery line at Ogale",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/775841_6in_ObigboNorth-Ogale_pipeline_Photos.pdf,No recoverable oil was found on site.  Initial Cleanup of residual impacted area completed on 14th March 2012.,Land,"Remediation is ongoing, Site certification planned for October 2012.",february,10-Feb-12,01.2,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/775841_6in_ObigboNorth-Ogale_pipeline_JIV.pdf,2012, Sabotage/Theft
15-Feb-12,"12"" Imo River 2 Pipeline at Owaza",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/775941_12in_ImoRiver2_pipeline_at_Owaza_Photos.pdf,Recovery of spilled volume was completed on 15th February 2012.  Initial Cleanup of residual impacted area completed on 14th March 2012.,Land,Site Certification completed on 3rd May 2012.,february,10-Feb-12,2.1,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/775941_12in_ImoRiver2_pipeline_at_Owaza_JIV.pdf,2012, Sabotage/Theft
15-Feb-12, Diebu Creek Well 15T Flow Line at Diebu Creek,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/777742_Well15_flowline_at_Peremabiri_Photos.pdf,No recoverable oil was found on site. Initial Cleanup of residual impacted area was completed on 17th March 2012.,Swamp,Site Certification completed on 3rd May 2012.,february,10-Feb-12,2,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/777742_Well15_flowline_at_Peremabiri_JIV.pdf,2012, Sabotage/Theft
9-Mar-12," 12"" Adibawa - Okordia delivery line at Edegbari",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/776497_12in_Adibawa-Okordia_pipeline_at_Edagberi-Betterland_Photos.pdf,No recoverable oil was found on site. Initial Cleanup of residual impacted area was completed on 14th March 2012. Site Remediation completed on August 2012.,Land,The leak occurred during pressure testing of the pipeline to confirm it's integrity. An initial JIV on 19th February 2012 could not assess the point of spill. A conclusive JIV was held on 9th March 2012. Site certification is now planned for November 2012 due to flooding.,february,13-Feb-12,0.3,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/776497_12in_Adibawa-Okordia_pipeline_at_Edagberi-Betterland_JIV.pdf,2012, Operational
1-Mar-12," 24"" UPS-Rapele Pipeline ROW at Ugbokodo",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/776956_24in_UPS-Rapele_pipeline_at_Ugbokodo_Photos.pdf,Recovery of spilled volume commenced on 17th February 2012 and was completed on 1st March 2012.,Swamp,JIV was delayed due to construction of a Cofferdam which is required for access to the underwater leak point. Initial Cleanup of residual impacted area stalled by disagreements over contract rates.,february,14-Feb-12,14.7,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/776956_24in_UPS-Rapele_pipeline_at_Ugbokodo_JIV.pdf,2012, Operational
19-Feb-12,"12"" Oguta - Egbema Pipeline at Obiakpu ",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/777237_12in_Oguta-Egbema_pipeline_at_Obiakpu_Photos.pdf,Recovery of spilled volume commenced on 19th February 2012 and was completed on 28th February 2012. Initial Cleanup of residual impacted area was completed on 30th April 2012. Remediation was completed on 10th October 2012.,Land,"Site certification is now planned for November 2012, due to flooding. The site was also inaccessible for some time due to security concerns which were resolved in September 2012.",february,15-Feb-12,"2,025.6",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/777237_12in_Oguta-Egbema_pipeline_at_Obiakpu_JIV.pdf,2012,Sabotage/Theft
